Typ,count
rec,0.33741579914268216
aria,0.29403959991835066
choral,0.17728107777097366
coro,0.09767299448867116
acc,0.05939987752602572
dictum,0.0226576852418861
arioso,0.010614411104307001
sonata,0.0005103082261686059
ritornello,0.0003061849357011635
rit,0.00010206164523372117
