Jahrzehnt,12/4 (affettuoso),12/8,2(/2),2(/2) (vivace),2(/4),2/4,2/4 (allegro),2/4 (andante),2/4 (dolcemente),2/4 (vivace),3,3/2,3/4-like,4/2,4/4,6/4,6/4 (affettuoso),6/4 (allegro),6/4 (andante),6/4 (giusto),6/4 (largo e giusto),6/4 (largo),6/4 (pastorale),6/4 (sostentato),6/4 (tempo giusto),6/4 (vivace e tempo giusto),6/4 (vivace),6/8,9/8,alla_breve,c (adagio),c (affettuoso),c (alla francese),c (alla minima),c (allegro moderato),c (allegro molto),c (allegro spirituoso/vivace),c (allegro),c (allegro/andante),c (allegro/vivace),c (andante e giusto),c (andante),c (andante/allegro),c (andante/sostentato),c (andante/vivace),c (giusto),c (grave),c (largo (e vivace)),c (largo a tempo),c (largo e giusto),c (largo e piano),c (largo e staccato),c (largo e vivace),c (largo piano),c (largo sostentato),c (largo),"c (largo, e giusto, e sostentato, e staccato)",c (largo/adagio),c (largo/sostentato),c (moderato),c (molto adagio),c (molto allegro),c (poco allegro),c (poco largo),c (presto),"c (presto,alla minima)",c (presto/allegro),c (sostentato e staccato),c (sostentato),c (spirituoso),c (tempo giusto),c (tombeau),c (un poco allegro),"c (un poco allegro,sostentato)",c (un poco andante),c (un poco largo),c (vivace e giusto),c (vivace e sostentato),c (vivace),"c (vivace, allegro)",c (vivace/allegro),c(4/2),"c,24/16",mixed,part,unknown
#NV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855
#WERT!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1700,0.0,0.012578616352201259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509433962264151,0.006289308176100629,0.0440251572327044,0.0,0.2893081761006289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.0,0.0,0.012578616352201259,0.0,0.0,0.0,0.0,0.0,0.0,0.012578616352201259,0.006289308176100629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.0,0.0,0.0,0.0,0.08176100628930817,0.0,0.3710691823899371
1710,0.0,0.036720751494449186,0.0,0.0,0.0008539709649871904,0.0,0.0,0.0,0.0,0.0,0.19385140905209222,0.015371477369769428,0.008539709649871904,0.0008539709649871904,0.25362937660119556,0.005977796754910333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015371477369769428,0.0017079419299743809,0.008539709649871904,0.011101622544833475,0.0008539709649871904,0.0,0.0,0.0,0.0,0.0,0.011955593509820665,0.0008539709649871904,0.0,0.0,0.0034158838599487617,0.0008539709649871904,0.0,0.0,0.0,0.0017079419299743809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006831767719897523,0.0,0.0008539709649871904,0.0,0.0,0.0017079419299743809,0.0,0.0,0.0,0.0034158838599487617,0.0008539709649871904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008539709649871904,0.0,0.0,0.0034158838599487617,0.0,0.07429547395388557,0.0,0.33561058923996584
1720,0.0004177109440267335,0.04218880534670008,0.000835421888053467,0.0004177109440267335,0.0012531328320802004,0.004177109440267335,0.0,0.0,0.0004177109440267335,0.0,0.17000835421888053,0.01670843776106934,0.004594820384294068,0.0004177109440267335,0.22681704260651628,0.00835421888053467,0.0,0.0,0.0,0.0,0.0004177109440267335,0.0,0.0004177109440267335,0.0,0.000835421888053467,0.0,0.0,0.018796992481203006,0.002506265664160401,0.005847953216374269,0.0012531328320802004,0.000835421888053467,0.000835421888053467,0.0,0.0,0.0,0.0004177109440267335,0.00835421888053467,0.0,0.000835421888053467,0.0,0.0012531328320802004,0.0,0.0,0.0004177109440267335,0.0,0.0004177109440267335,0.0,0.0,0.0,0.0004177109440267335,0.0,0.0,0.0,0.0,0.02422723475355054,0.0,0.0004177109440267335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000835421888053467,0.000835421888053467,0.0004177109440267335,0.0,0.0004177109440267335,0.0,0.0,0.0,0.0004177109440267335,0.0,0.011695906432748537,0.0004177109440267335,0.0004177109440267335,0.000835421888053467,0.0004177109440267335,0.04302422723475355,0.0004177109440267335,0.39473684210526316
1730,0.0,0.05560704355885079,0.0,0.0,0.0,0.005560704355885079,0.0004633920296570899,0.0,0.0,0.0013901760889712697,0.1283595922150139,0.018535681186283594,0.0023169601482854493,0.0,0.23123262279888787,0.013901760889712697,0.0004633920296570899,0.0004633920296570899,0.0,0.0004633920296570899,0.0009267840593141798,0.0004633920296570899,0.0,0.0,0.0004633920296570899,0.0004633920296570899,0.004633920296570899,0.007877664504170528,0.0009267840593141798,0.0018535681186283596,0.0009267840593141798,0.0018535681186283596,0.0,0.0,0.0,0.0,0.0,0.009267840593141797,0.0,0.0,0.0009267840593141798,0.0023169601482854493,0.0,0.0,0.0,0.0004633920296570899,0.003243744207599629,0.0,0.0,0.003243744207599629,0.0004633920296570899,0.0004633920296570899,0.0,0.0004633920296570899,0.0,0.024096385542168676,0.0004633920296570899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004633920296570899,0.0,0.0,0.0,0.0018535681186283596,0.0,0.0004633920296570899,0.0009267840593141798,0.0,0.0004633920296570899,0.0,0.0,0.0004633920296570899,0.0,0.026876737720111215,0.0,0.0,0.0,0.0,0.028266913809082483,0.0,0.41566265060240964
1740,0.0,0.030425333747283453,0.0,0.0,0.0,0.0046569388388699165,0.0012418503570319776,0.0003104625892579944,0.0,0.001552312946289972,0.17603228810928284,0.005588326606643899,0.009313877677739833,0.0,0.1785159888233468,0.009313877677739833,0.0003104625892579944,0.0006209251785159888,0.0003104625892579944,0.0,0.0,0.0009313877677739833,0.0,0.0006209251785159888,0.0,0.0,0.003725551071095933,0.032598571872089414,0.001552312946289972,0.0027941633033219497,0.0012418503570319776,0.0012418503570319776,0.0,0.0003104625892579944,0.0,0.0,0.0,0.0332194970506054,0.0,0.0009313877677739833,0.0,0.008382489909965849,0.0,0.0,0.0,0.0,0.0027941633033219497,0.0003104625892579944,0.0006209251785159888,0.0018627755355479665,0.0,0.0,0.0003104625892579944,0.0,0.0003104625892579944,0.04160198696057125,0.0,0.0,0.0003104625892579944,0.0003104625892579944,0.0003104625892579944,0.0009313877677739833,0.0006209251785159888,0.0003104625892579944,0.0027941633033219497,0.0,0.0003104625892579944,0.0003104625892579944,0.0003104625892579944,0.0,0.0003104625892579944,0.0,0.0006209251785159888,0.0,0.0003104625892579944,0.0,0.0,0.0003104625892579944,0.024216081962123565,0.0,0.0006209251785159888,0.0,0.0,0.009624340266997827,0.0,0.40391182862465075
1750,0.0,0.010558069381598794,0.0,0.0,0.0,0.0,0.006033182503770739,0.0015082956259426848,0.0,0.0015082956259426848,0.10558069381598793,0.0,0.013574660633484163,0.0,0.16138763197586728,0.0030165912518853697,0.0,0.0015082956259426848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05429864253393665,0.0,0.02262443438914027,0.0,0.0,0.0,0.0,0.006033182503770739,0.0015082956259426848,0.0,0.09653092006033183,0.0,0.0,0.0,0.016591251885369532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030165912518853697,0.0,0.0,0.0,0.0,0.0,0.05279034690799397,0.0,0.0,0.0,0.004524886877828055,0.0,0.0030165912518853697,0.0015082956259426848,0.0,0.0,0.0,0.0,0.0,0.0015082956259426848,0.0,0.0,0.0,0.0015082956259426848,0.0,0.0,0.0030165912518853697,0.0,0.0,0.016591251885369532,0.0,0.0,0.0,0.0,0.013574660633484163,0.0,0.39668174962292607
