Typ,count,percent
sonata > arioso > aria > arioso > aria > arioso > aria > choral,1,0.07
arioso > rec > arioso > rec > arioso > rec > choral > rec > aria,1,0.07
coro > aria > acc > aria > rec > aria > choral,1,0.07
coro > rec > aria > rec > aria > rec,1,0.07
acc > acc > aria > rec > aria > rec > choral,1,0.07
acc > rec > aria > acc > rec > aria > rec > choral,1,0.07
acc > aria > acc > rec > aria > acc > choral,1,0.07
choral > rec > aria > rec > coro > rec > choral,1,0.07
dictum > rec > arioso > coro > arioso > rec > aria > rec > choral,1,0.07
dictum > coro > rec > coro > rec > coro > rec > choral,1,0.07
dictum > rec > choral > rec > aria > choral,1,0.07
dictum > aria > coro > aria > coro > aria,1,0.07
aria > coro > aria > acc > aria,1,0.07
coro > aria > choral > arioso > ritornello > acc > coro,1,0.07
coro > rec > aria > choral > rec > choral > aria > rec > coro,1,0.07
coro > acc > aria > choral > rec > aria > rec > coro,1,0.07
coro > rec > choral > aria > rec > coro,1,0.07
dictum > rec > coro > rec > aria > rec > choral,1,0.07
coro > rec > aria > coro > rec > aria > choral,1,0.07
coro > rec > acc > rec > aria > rec > aria > rec > coro,1,0.07
arioso > arioso > aria > rec > aria > rec > choral,1,0.07
choral > rec > aria > arioso > rec > aria,1,0.07
coro > rec > choral > aria > rec > aria > rec > choral,1,0.07
coro > aria > acc > aria > rec > choral,1,0.07
coro > rec > acc > rec > aria > rec > choral,1,0.07
choral > choral,1,0.07
acc > coro > acc > aria > acc > coro,1,0.07
choral > rec > aria > aria > aria > rec > acc > coro,1,0.07
coro > aria > rec > choral > rec > coro > rec > coro,1,0.07
coro > aria > rec > choral > rec > aria > rec > coro,1,0.07
coro > rec > aria > rec > coro > choral,1,0.07
choral > aria > rec > aria > choral > rec > coro,1,0.07
choral > rec > aria > rec > coro > acc > choral,1,0.07
coro > acc > coro > acc > coro > acc > choral,1,0.07
coro > acc > aria > rec > coro > acc > choral,1,0.07
choral > rec > aria > rec > aria > coro > acc > choral,1,0.07
coro > rec > aria > choral > acc > coro > coro,1,0.07
acc > aria > rec > aria > aria > rec > choral,1,0.07
acc > aria > arioso > aria > arioso > aria,1,0.07
coro > aria > rec > aria > aria > rec > aria,1,0.07
coro > aria > choral > rec > choral > rec > aria > rec > choral,1,0.07
dictum > aria > choral > aria > rec > aria > rec > choral,1,0.07
acc > dictum > aria > rec > choral > aria > choral,1,0.07
choral > arioso > aria > rec > aria > choral,1,0.07
aria > choral > acc > choral > aria > rec > choral,1,0.07
coro > aria > coro > aria > coro > aria > coro,1,0.07
acc > aria > aria,1,0.07
