Werk;Satznr;Typ;Besetzung;Tonart;Takt;Jahr;Zeit;Saison;Jahrzehnt;A;AATB;AATT;AATTBB;AB;AT;ATB;ATTB;B;BB;BBB;BS;S;S S STB;SA;SA TB;SAATTBB;SAB;SAT;SAT B;SATB;SATBB;SATT;SATTB;SB;SS;SSAB;SSAT;SSATB;SSATBB;SSATTB;SSB;SSSAB;SSSATB;SSSTB;SSTB;ST;STB;T;TB;TT;basso continuo;bassoon;chalumeau;clarinet;clarino;flute;flute d'amore;horn;oboe;oboe d'amore;organ;recorder;strings;timpani;trombone;trumpet;viola;viola d'amore;violetta;violins;violoncello;violone;2er;3er;4er;6er;9er;12er;Sonstiges
1122/48;2;rec;(S,bc);;;1748;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1740;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1122/48;3;aria;(S,vl unis,vla,bc);d;C;1748;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1740;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;x;;;x;;;;;x;;;;
1122/48;4;choral;(SATB,str,bc);B;3;1748;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1740;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;x;;;;;
1122/48;5;rec;(B,bc);;;1748;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1740;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1122/48;6;aria;(B,vl unis,vla,bc);Es;C (un poco andante);1748;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1740;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;x;;;x;;;;;x;;;;
1122/48;7;rec;(T,bc);;;1748;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1122/48;8;choral;(4);D;C;1748;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
1122/50;1;dictum;(T,str,bc);d;C;1750;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;
1122/50;2;rec;(S,bc);;;1750;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1750;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1122/50;3;aria;(S,str,bc);g;C (allegro);1750;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1750;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;
1122/50;4;rec;(B,bc);;;1750;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1750;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1122/50;5;aria;(B,str,bc);B;3/8 (allegro);1750;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1750;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;x;;;;;
1122/50;6;rec;(T,bc);;;1750;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1122/50;7;choral;(SATB,(ob/fl),str,bc);d;6/8;1750;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1750;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;x;;;x;;;;x;;;;;;;;;;;;;x;;;
1122/51;1;coro;(SATB,hn(2),str,bc);G;C (allegro);1751;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1750;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;x;;;;;;;;;;;;x;;;;
1122/51;2;rec;(B,bc);;;1751;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1750;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1122/51;3;aria;(B,hn(2),str,bc);G;6/8 (allegro);1751;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1750;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;x;;;;;;;;;;;;;x;;;
1122/51;4;rec;(S,bc);;;1751;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1750;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1122/51;5;aria;(S,hn(2),str,bc);C;6/8 (allegro);1751;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1750;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;x;;;;;;;;;;;;;x;;;
1122/51;6;rec;(T,bc);;;1751;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1122/51;7;choral;(SATB,hn(2),str,bc);G;C;1751;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1750;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;x;;;;;;;;;;;;x;;;;
1122/53;1;coro;+acc (T,B+SATB,hn(2),str,bc);Es;C (tempo d'allabreve moderato+/);1753;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1750;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;x;;;;;;;;;;x;;x;;;;
1122/53;2;aria;(B,fl(2),fg,hn(2),str,bc);c;C (tempo d'allabreve moderato);1753;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1750;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;x;;x;;;;;x;;;;;;;;;;x;;x;;;;
1122/53;3;rec;(S,bc);;;1753;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1750;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1122/53;4;aria;(S,fl(2),fg(2),hn(2),str,bc);Es;C (tempo d'allabreve moderato);1753;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1750;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;x;;x;;;;;x;;;;;;;;;;x;;x;;;;
1122/53;5;acc;(T,str,bc);;;1753;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
1122/53;6;choral;(SATB,fl(2),hn(2),str,bc);Es;C;1753;Oculi (3. Sonntag der Passionszeit);Fastenzeit;1750;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;x;;x;;;;;x;;;;;;;;;;;;x;;;;
1123/12;1;aria;(S,ob,fg,vl unis,vla,bc);g;3;1712;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;x;;;;;;;;x;;;x;;;;x;;;;;
1123/12;2;arioso;(T,(fg),bc);Es;C;1712;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;
1123/12;3;aria;(B,(fg),org,bc);c;3;1712;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;x;;;;;;;;;;;;;x;;;;;
1123/12;4;acc;(T,(fg),str,bc);;;1712;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;x;;;;;;;;;;;x;;;;;;;;;;;;;;;;
1123/12;5;choral;(SATB,ob,(fg),vl unis,vla,bc);g;3;1712;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;x;;;;;;;;x;;;x;;;;x;;;;;
1123/13;1;aria;(S,ob(2),vl unis,vla,bc);B;C;1713;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;x;;;;;;;;x;;;x;;;;;x;;;;
1123/13;2;rec;(S,bc);;;1713;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/13;3;aria;(S,ob/vl unis,bc);F;3;1713;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;x;;;;x;;;;;
1123/13;4;rec;(S,bc);;;1713;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/13;5;aria;(S,ob(2),vl unis,vla,bc);B;C;1713;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;x;;;;;;;;x;;;x;;;;;x;;;;
1123/15;1;coro;(SATB,;;;1715;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/15;2;aria;(S,;;;1715;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/15;3;coro;(SATB,;;;1715;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/15;4;aria;(S,;;;1715;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/15;5;coro;(SATB;;;1715;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/16;1;coro;(SSAB,str,bc);D;C;1716;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;
1123/16;2;aria;(S,vl,bc);h;3(+C) (/+adagio);1716;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;x;;;;x;x;;;;
1123/16;3;coro;(SSAB,str,bc);D;3;1716;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;x;;;;;
1123/16;4;aria;(B,str,bc);G;12/8;1716;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;;;;x;
1123/16;5;choral;(SSAB,str,bc);D;C;1716;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;
1123/18;1;dictum;(S,str,bc);G;C (adagio);1718;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;
1123/18;2;arioso;(S,ob am,str,bc);e;C;1718;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;x;;;x;;;;;;;;;;;;x;;;;
1123/18;3;rec;(S,bc);;;1718;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/18;4;arioso;(2);D;C;1718;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
1123/18;5;rec;+arioso (S,str,bc);a;C+3;1718;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;x;x;;;;
1123/18;6;arioso;(2);D;C;1718;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
1123/18;7;rec;(S,bc);;;1718;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/18;8;arioso;(S,ob am,bc);E;3;1718;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;x;;;;;;;;;;;;;;x;;;;;
1123/18;9;rec;(S,bc);;;1718;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/18;10;aria;(S,ob am,str,bc);G;3;1718;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1710;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;x;;;x;;;;;;;;;;;x;;;;;
1123/21;1;coro;(SSTB,str,bc);G;C;1721;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;
1123/21;2;rec;(B,bc);;;1721;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/21;3;aria;(B,str,bc);e;C;1721;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;
1123/21;4;rec;(S,bc);;;1721;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/21;5;aria;(S,vl unis,bc);D;C (largo);1721;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;x;;;;
1123/21;6;acc;(S,str,bc);;;1721;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
1123/21;7;choral;(SATB,str,bc);G;6/8;1721;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;
1123/22;1;coro;(SSATB,str,bc);C;C;1722;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;
1123/22;2;rec;(S,bc);;;1722;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/22;3;aria;(S,ob,str,bc);a;C;1722;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;x;;;;x;;;;;;;;;;;;x;;;;
1123/22;4;rec;(B,bc);;;1722;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/22;5;aria;(B,str,bc);G;3;1722;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;x;;;;;
1123/22;6;choral;(SATB,str,bc);c;C (largo);1722;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;
1123/23;1;coro;(SSTB,str,bc);D;12/8 (allegro (spirituoso));1723;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;;;;x;
1123/23;2;rec;(B,bc);;;1723;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/23;3;aria;(B,str,bc);C;2/4;1723;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;x;;;;;;
1123/23;4;rec;(S,bc);;;1723;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/23;5;aria;(S,str,bc);G;12/8 (allegro);1723;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;;;;x;
1123/23;6;rec;(T,bc);;;1723;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/23;7;choral;(SSTB,str,bc);D;12/8 (largo);1723;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;;;;x;
1123/24;1;coro;(SATB,str,bc);G;C(4/2) (allabreve);1724;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;
1123/24;2;acc;(B,str,bc);;;1724;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
1123/24;3;choral;(SATB,str,bc);G;C(4/2) (allabreve);1724;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;
1123/24;4;aria;(TB,str,bc);e;3/2;1724;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;;;;;;;;;;;x;;;;;;;;;;;x;;;;;
1123/24;5;aria;(B,str,bc);C;C (allegro);1724;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;
1123/24;6;acc;(T,str,bc);;;1724;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
1123/24;7;choral;(SATB,str,bc);G;C(4/2) (allabreve);1724;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;
1123/25;1;coro;(SSTB,str,bc);B;3 (allegro);1725;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;x;;;;;
1123/25;2;rec;(T,bc);;;1725;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/25;3;aria;(T,str,bc);F;3;1725;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;;x;;;;;;;;;;;x;;;;;
1123/25;4;choral;(SSTB,str,bc);B;C;1725;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;
1123/25;5;rec;(B,bc);;;1725;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/25;6;aria;(B,str,bc);g;12/8;1725;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;;;;x;
1123/25;7;choral;(4);D;C;1725;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
1123/26;1;coro;(SATB,fl(2),fg,str,bc);c;3/2;1726;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;x;;;;x;;;;;;;x;;;;;;;;;;;x;;;;;
1123/26;2;rec;(B,bc);;;1726;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/26;3;aria;(B,fl(2),fg,str,bc);G;3/2 (affettuoso);1726;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;x;;;;;;;x;;;;;;;;;;;x;;;;;
1123/26;4;rec;(S,bc);;;1726;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/26;5;aria;(S,fl(2),str,bc);D;6/8;1726;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;x;;;;;;;x;;;;;;;;;;;;;x;;;
1123/26;6;rec;(T,bc);;;1726;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/26;7;choral;(SATB,fl(2),fg,str,bc);c;3;1726;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;x;;;;x;;;;;;;x;;;;;;;;;;;x;;;;;
1123/27;1;coro;(SATB,str,bc);F;12/8;1727;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;;;;x;
1123/27;2;rec;(S,bc);;;1727;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/27;3;aria;(S,str,bc);G;C (tempo giusto);1727;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;
1123/27;4;rec;(B,bc);;;1727;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123/27;5;aria;(B,str,bc);g;3;1727;Laetare (4. Sonntag der Passionszeit);Fastenzeit;1720;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;x;;;;;
