Werk;Satznr;Typ;Besetzung;Tonart;Takt;Jahr;Zeit;Saison;Jahrzehnt;A;AATB;AATT;AATTBB;AB;AT;ATB;ATTB;B;BB;BBB;BS;S;S S STB;SA;SA TB;SAATTBB;SAB;SAT;SAT B;SATB;SATBB;SATT;SATTB;SB;SS;SSAB;SSAT;SSATB;SSATBB;SSATTB;SSB;SSSAB;SSSATB;SSSTB;SSTB;ST;STB;T;TB;TT;basso continuo;bassoon;chalumeau;clarinet;clarino;flute;flute d'amore;horn;oboe;oboe d'amore;organ;recorder;strings;timpani;trombone;trumpet;viola;viola d'amore;violetta;violins;violoncello;violone;2er;3er;4er;6er;9er;12er;Sonstiges
1101/20;1;dictum;(T,str,bc);D;C (allegro);1720;1. Advent;Advent;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;
1101/20;2;aria;(B,vl unis,bc);G;C (allegro);1720;1. Advent;Advent;1720;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;x;;;;
1101/20;3;acc;(SSTB,str,bc);;;1720;1. Advent;Advent;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
1101/20;4;choral;(SSTB,str,bc);D;6/4;1720;1. Advent;Advent;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;
1101/20;5;arioso;(S,recorder(2),bc);e;3;1720;1. Advent;Advent;1720;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;
1101/20;6;rec;+arioso (S,bc);;;1720;1. Advent;Advent;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/20;7;arioso;(5);D;C;1720;1. Advent;Advent;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
1101/20;8;choral;(4);D;C;1720;1. Advent;Advent;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
1101/22;1;coro;(S(S)STB,hn,str,bc);F;C;1722;1. Advent;Advent;1720;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;x;;;;;;;;;;;;x;;;;
1101/22;2;rec;(S,bc);;;1722;1. Advent;Advent;1720;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/22;3;aria;(S,fg,str,bc);B;3 (affettuoso);1722;1. Advent;Advent;1720;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;x;;;;;;;;;;;x;;;;;
1101/22;4;rec;(B,bc);;;1722;1. Advent;Advent;1720;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/22;5;coro;,aria (B,SSTB,hn,str,bc);F;3 (vivace);1722;1. Advent;Advent;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;;;;;x;;;;;x;;;;;;;;;;;x;;;;;
1101/22;6;rec;(T,bc);;;1722;1. Advent;Advent;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/22;7;choral;(SSTB,ob(2),hn,str,bc);F;C;1722;1. Advent;Advent;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;;;;;x;x;;;;x;;;;;;;;;;;;x;;;;
1101/24;1;coro;(SATB,str,bc);B;3 (allegro);1724;1. Advent;Advent;1720;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;x;;;;;
1101/24;2;rec;(T,bc);;;1724;1. Advent;Advent;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/24;3;aria;(T,vl unis,vla,bc);a;3 (vivace);1724;1. Advent;Advent;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;;;;;;x;;;x;;;;x;;;;;
